"x","y","t","zt","zt1"
247500,4050500,1996,2.035,0.514
252500,4050500,1996,2.055,0.318
257500,4050500,1996,2.189,0.059
262500,4050500,1996,1.841,0
267500,4050500,1996,1.142,0.099
272500,4050500,1996,0.804,0.177
277500,4050500,1996,1.072,0.272
282500,4050500,1996,1.256,0.426
287500,4050500,1996,1.539,0.436
292500,4050500,1996,2.48,0.247
297500,4050500,1996,2.174,0.634
302500,4050500,1996,2.029,0.669
307500,4050500,1996,2.01,0.398
312500,4050500,1996,2.685,0.354
317500,4050500,1996,3.91,0.387
322500,4050500,1996,4.673,0.784
327500,4050500,1996,4.143,1.063
332500,4050500,1996,4.525,1.724
337500,4050500,1996,3.203,1.386
342500,4050500,1996,7.416,1.188
347500,4050500,1996,5.021,0.316
352500,4050500,1996,7.382,0.061
357500,4050500,1996,3.183,0.079
362500,4050500,1996,2.06,0
367500,4050500,1996,3.636,0.54
372500,4050500,1996,5.536,1.9
377500,4050500,1996,4.728,1.299
232500,4055500,1996,0.637,0
237500,4055500,1996,0.993,0.418
242500,4055500,1996,1.085,0.502
247500,4055500,1996,2.446,0.705
252500,4055500,1996,3.096,0.515
257500,4055500,1996,3.709,0.192
262500,4055500,1996,2.495,0.042
267500,4055500,1996,1.89,0.063
272500,4055500,1996,1.988,0.131
277500,4055500,1996,1.445,0.338
282500,4055500,1996,1.805,0.37
287500,4055500,1996,2.502,0.275
292500,4055500,1996,3.932,0.453
297500,4055500,1996,4.021,0.618
302500,4055500,1996,3.583,1.017
307500,4055500,1996,2.479,1.905
312500,4055500,1996,2.538,1.44
317500,4055500,1996,5.308,1.567
322500,4055500,1996,8.529,1.923
327500,4055500,1996,11.156,1.192
332500,4055500,1996,8.674,1.803
337500,4055500,1996,5.816,2.791
342500,4055500,1996,5.587,3.132
347500,4055500,1996,3.747,1.067
352500,4055500,1996,7.564,0.36
357500,4055500,1996,2.507,0.802
362500,4055500,1996,6.328,0.464
367500,4055500,1996,14.493,1.822
372500,4055500,1996,13.431,2.847
377500,4055500,1996,4.997,2.89
232500,4060500,1996,1.022,0
237500,4060500,1996,0.796,0.282
242500,4060500,1996,1.659,0.687
247500,4060500,1996,2.943,0.833
252500,4060500,1996,3.878,0.956
257500,4060500,1996,3.532,0.683
262500,4060500,1996,2.826,0.394
267500,4060500,1996,3.671,0.208
272500,4060500,1996,3.355,0.493
277500,4060500,1996,3.442,0.907
282500,4060500,1996,3.714,1.289
287500,4060500,1996,4.27,2.124
292500,4060500,1996,4.563,1.885
297500,4060500,1996,5.598,1.654
302500,4060500,1996,4.96,1.437
307500,4060500,1996,4.369,2.835
312500,4060500,1996,5.125,4.12
317500,4060500,1996,4.858,2.603
322500,4060500,1996,8.932,2.076
327500,4060500,1996,11.82,1.785
332500,4060500,1996,16.397,2.436
337500,4060500,1996,16.703,4.798
342500,4060500,1996,13.124,4.117
347500,4060500,1996,4.496,1.741
352500,4060500,1996,7.413,1.925
357500,4060500,1996,6.311,2.55
362500,4060500,1996,12.155,1.96
367500,4060500,1996,38.609,1.659
372500,4060500,1996,12.483,3.845
377500,4060500,1996,4.361,5.164
237500,4065500,1996,0.865,0
242500,4065500,1996,2.375,0.484
247500,4065500,1996,3.891,1.315
252500,4065500,1996,4.936,1.326
257500,4065500,1996,4.233,1.752
262500,4065500,1996,3.636,1.246
267500,4065500,1996,4.117,0.545
272500,4065500,1996,4.512,0.763
277500,4065500,1996,3.926,1.172
282500,4065500,1996,5.145,2.984
287500,4065500,1996,6.851,4.261
292500,4065500,1996,7.187,4.611
297500,4065500,1996,7.388,3.259
302500,4065500,1996,6.085,2.761
307500,4065500,1996,6.039,2.805
312500,4065500,1996,6.792,3.652
317500,4065500,1996,7.019,4.418
322500,4065500,1996,11.365,3.629
327500,4065500,1996,16.877,7.015
332500,4065500,1996,22.335,7.192
337500,4065500,1996,18.69,3.405
342500,4065500,1996,18.716,2.81
347500,4065500,1996,10.087,4.378
352500,4065500,1996,12.417,5.958
357500,4065500,1996,17.022,5.296
362500,4065500,1996,15.342,2.59
367500,4065500,1996,18.305,2.049
372500,4065500,1996,12.381,3.179
377500,4065500,1996,9.818,3.086
242500,4070500,1996,1.971,1.01
247500,4070500,1996,4.573,1.506
252500,4070500,1996,5.946,1.73
257500,4070500,1996,5.796,2.18
262500,4070500,1996,5.285,1.99
267500,4070500,1996,2.39,1.443
272500,4070500,1996,0.357,0.722
277500,4070500,1996,0.748,1.283
